insee_com,lib_com,niveau_ruralite
01410,Sonthonnax-la-Montagne, Les ruralités résidentielles aisées
01411,Souclin, Les ruralités résidentielles mixtes
01412,Sulignat, Les petites polarités industrielles et artisanales
01415,Talissieu, Les ruralités touristiques à dominante résidentielle
01416,Tenay, Les ruralités productives agricoles
01418,Thil, Les ruralités résidentielles aisées
01419,Thoiry, Hors champ : DOM ou commune urbaine
01420,Thoissey, Les petites polarités mixtes
01421,Torcieu, Les ruralités résidentielles mixtes
01422,Tossiat, Les ruralités résidentielles aisées
01423,Toussieux, Hors champ : DOM ou commune urbaine
01424,Tramoyes, Les ruralités résidentielles aisées
01425,La Tranclière, Les ruralités productives ouvrières
01426,Val-Revermont, Les ruralités résidentielles aisées
01427,Trévoux, Hors champ : DOM ou commune urbaine
01428,Valeins, Les ruralités résidentielles aisées
01429,Vandeins, Les ruralités résidentielles aisées
01430,Varambon, Les ruralités résidentielles aisées
01431,Vaux-en-Bugey, Hors champ : DOM ou commune urbaine
01432,Verjon, Les ruralités résidentielles aisées
01433,Vernoux, Les ruralités résidentielles aisées
01434,Versailleux, Les ruralités résidentielles aisées
01435,Versonnex, Hors champ : DOM ou commune urbaine
01436,Vesancy, Hors champ : DOM ou commune urbaine
01437,Vescours, Les ruralités productives ouvrières
01439,Vésines, Les ruralités productives ouvrières
01441,Vieu-d'Izenave, Les petites polarités industrielles et artisanales
01443,Villars-les-Dombes, Les petites polarités mixtes
01444,Villebois, Les petites polarités industrielles et artisanales
01445,Villemotier, Les ruralités résidentielles mixtes
01446,Villeneuve, Les ruralités résidentielles aisées
01447,Villereversure, Les petites polarités industrielles et artisanales
01448,Villes, Les ruralités résidentielles aisées
01449,Villette-sur-Ain, Les ruralités résidentielles aisées
01450,Villieu-Loyes-Mollon, Hors champ : DOM ou commune urbaine
01451,Viriat, Les petites polarités industrielles et artisanales
01452,Virieu-le-Grand, Les petites polarités industrielles et artisanales
01453,Arvière-en-Valromey, Les petites polarités industrielles et artisanales
01454,Virignin, Les ruralités résidentielles aisées
01456,Vongnes, Les ruralités touristiques à dominante résidentielle
01457,Vonnas, Les petites polarités industrielles et artisanales
02001,Abbécourt, Hors champ : DOM ou commune urbaine
02002,Achery, Les ruralités résidentielles mixtes
02003,Acy, Les ruralités résidentielles aisées
02004,Agnicourt-et-Séchelles, Les ruralités productives agricoles
02005,Aguilcourt, Les ruralités résidentielles aisées
02006,Aisonville-et-Bernoville, Les petites polarités mixtes
02007,Aizelles, Les ruralités résidentielles mixtes
02008,Aizy-Jouy, Les ruralités résidentielles mixtes
02009,Alaincourt, Les ruralités résidentielles mixtes
