insee_com,lib_com,niveau_montagne
03256,Saint-Priest-en-Murat,06 - Massif Central
03257,Saint-Prix,06 - Massif Central
03258,Saint-Rémy-en-Rollat,06 - Massif Central
03259,Saint-Sauvier,06 - Massif Central
03260,Saint-Sornin,06 - Massif Central
03261,Sainte-Thérence,06 - Massif Central
03262,Saint-Victor,06 - Massif Central
03263,Saint-Voir,06 - Massif Central
03264,Saint-Yorre,06 - Massif Central
03265,Saligny-sur-Roudon,06 - Massif Central
03266,Sanssat,06 - Massif Central
03267,Saulcet,06 - Massif Central
03268,Saulzet,06 - Massif Central
03269,Sauvagny,06 - Massif Central
03270,Sazeret,06 - Massif Central
03271,Serbannes,06 - Massif Central
03272,Servilly,06 - Massif Central
03273,Seuillet,06 - Massif Central
03274,Sorbier,06 - Massif Central
03275,Souvigny,06 - Massif Central
03276,Sussat,06 - Massif Central
03277,Target,06 - Massif Central
03278,Taxat-Senat,06 - Massif Central
03279,Teillet-Argenty,06 - Massif Central
03280,Terjat,06 - Massif Central
03281,Le Theil,06 - Massif Central
03282,Theneuille,06 - Massif Central
03283,Thiel-sur-Acolin,06 - Massif Central
03284,Thionne,06 - Massif Central
03285,Tortezais,06 - Massif Central
03286,Toulon-sur-Allier,06 - Massif Central
03287,Treban,06 - Massif Central
03288,Treignat,06 - Massif Central
03289,Treteau,06 - Massif Central
03290,Trévol,06 - Massif Central
03291,Trézelles,06 - Massif Central
03292,Tronget,06 - Massif Central
03293,Urçay,06 - Massif Central
03294,Ussel-d'Allier,06 - Massif Central
03295,Valignat,06 - Massif Central
03296,Valigny,06 - Massif Central
03297,Vallon-en-Sully,06 - Massif Central
03298,Varennes-sur-Allier,06 - Massif Central
03299,Varennes-sur-Tèche,06 - Massif Central
03300,Vaumas,06 - Massif Central
03301,Vaux,06 - Massif Central
03302,Veauce,06 - Massif Central
03303,Venas,06 - Massif Central
03304,Vendat,06 - Massif Central
03305,Verneix,06 - Massif Central
03306,Le Vernet,06 - Massif Central
03307,Verneuil-en-Bourbonnais,06 - Massif Central
03308,Vernusse,06 - Massif Central
03309,Le Veurdre,06 - Massif Central
03310,Vichy,06 - Massif Central
03311,Vicq,06 - Massif Central
03312,Vieure,06 - Massif Central
03313,Le Vilhain,06 - Massif Central
03314,Villebret,06 - Massif Central
03315,Villefranche-d'Allier,06 - Massif Central
03316,Villeneuve-sur-Allier,06 - Massif Central
03317,Viplaix,06 - Massif Central
03319,Voussac,06 - Massif Central
03320,Ygrande,06 - Massif Central
03321,Yzeure,06 - Massif Central
04001,Aiglun,03 - Massif des Alpes
04004,Allemagne-en-Provence,03 - Massif des Alpes
04005,Allons,03 - Massif des Alpes
04006,Allos,03 - Massif des Alpes
04007,Angles,03 - Massif des Alpes
04008,Annot,03 - Massif des Alpes
04009,Archail,03 - Massif des Alpes
04012,Aubenas-les-Alpes,03 - Massif des Alpes
04013,Aubignosc,03 - Massif des Alpes
04016,Authon,03 - Massif des Alpes
04017,Auzet,03 - Massif des Alpes
04018,Banon,03 - Massif des Alpes
04019,Barcelonnette,03 - Massif des Alpes
04020,Barles,03 - Massif des Alpes
04021,Barras,03 - Massif des Alpes
04022,Barrême,03 - Massif des Alpes
04023,Bayons,03 - Massif des Alpes
04024,Beaujeu,03 - Massif des Alpes
04025,Beauvezer,03 - Massif des Alpes
04026,Bellaffaire,03 - Massif des Alpes
04027,Bevons,03 - Massif des Alpes
04028,Beynes,03 - Massif des Alpes
04030,Blieux,03 - Massif des Alpes
04031,Bras-d'Asse,03 - Massif des Alpes
04032,Braux,03 - Massif des Alpes
04033,Ubaye-Serre-Ponçon,03 - Massif des Alpes
04034,La Brillanne,03 - Massif des Alpes
04035,Brunet,03 - Massif des Alpes
04036,Le Brusquet,03 - Massif des Alpes
04037,Le Caire,03 - Massif des Alpes
04039,Castellane,03 - Massif des Alpes
04040,Le Castellard-Mélan,03 - Massif des Alpes
04041,Le Castellet,03 - Massif des Alpes
04042,Castellet-lès-Sausses,03 - Massif des Alpes
04043,Val-de-Chalvagne,03 - Massif des Alpes
04045,Céreste-en-Luberon,03 - Massif des Alpes
04046,Le Chaffaut-Saint-Jurson,03 - Massif des Alpes
04047,Champtercier,03 - Massif des Alpes
04049,Château-Arnoux-Saint-Auban,03 - Massif des Alpes
04050,Châteaufort,03 - Massif des Alpes
04051,Châteauneuf-Miravail,03 - Massif des Alpes
04053,Châteauneuf-Val-Saint-Donat,03 - Massif des Alpes
04054,Châteauredon,03 - Massif des Alpes
04055,Chaudon-Norante,03 - Massif des Alpes
04057,Clamensane,03 - Massif des Alpes
04058,Claret,03 - Massif des Alpes
04059,Clumanc,03 - Massif des Alpes
04061,Colmars,03 - Massif des Alpes
04062,La Condamine-Châtelard,03 - Massif des Alpes
04063,Corbières-en-Provence,03 - Massif des Alpes
04065,Cruis,03 - Massif des Alpes
04066,Curbans,03 - Massif des Alpes
04067,Curel,03 - Massif des Alpes
04068,Dauphin,03 - Massif des Alpes
04069,Demandolx,03 - Massif des Alpes
04070,Digne-les-Bains,03 - Massif des Alpes
04072,Draix,03 - Massif des Alpes
04073,Enchastrayes,03 - Massif des Alpes
04074,Entrages,03 - Massif des Alpes
04075,Entrepierres,03 - Massif des Alpes
04076,Entrevaux,03 - Massif des Alpes
04077,Entrevennes,03 - Massif des Alpes
04079,L'Escale,03 - Massif des Alpes
04081,Esparron-de-Verdon,03 - Massif des Alpes
04084,Estoublon,03 - Massif des Alpes
04085,Faucon-du-Caire,03 - Massif des Alpes
04086,Faucon-de-Barcelonnette,03 - Massif des Alpes
04087,Fontienne,03 - Massif des Alpes
04088,Forcalquier,03 - Massif des Alpes
04090,Le Fugeret,03 - Massif des Alpes
04091,Ganagobie,03 - Massif des Alpes
04092,La Garde,03 - Massif des Alpes
04093,Gigors,03 - Massif des Alpes
04094,Gréoux-les-Bains,03 - Massif des Alpes
04095,L'Hospitalet,03 - Massif des Alpes
04096,Jausiers,03 - Massif des Alpes
04097,La Javie,03 - Massif des Alpes
04099,Lambruisse,03 - Massif des Alpes
04101,Lardiers,03 - Massif des Alpes
04102,Le Lauzet-Ubaye,03 - Massif des Alpes
04104,Limans,03 - Massif des Alpes
04106,Lurs,03 - Massif des Alpes
04107,Majastres,03 - Massif des Alpes
04108,Malijai,03 - Massif des Alpes
04109,Mallefougasse-Augès,03 - Massif des Alpes
04110,Mallemoisson,03 - Massif des Alpes
04111,Mane,03 - Massif des Alpes
04112,Manosque,03 - Massif des Alpes
04113,Marcoux,03 - Massif des Alpes
04115,Méailles,03 - Massif des Alpes
04116,Les Mées,03 - Massif des Alpes
