insee_com,lib_com,niveau_densite
01276,Niévroz,Bourgs ruraux
01277,Nivollet-Montgriffon,Rural à habitat très dispersé
01279,Oncieu,Rural à habitat dispersé
01280,Ordonnaz,Rural à habitat dispersé
01281,Ornex,Ceintures urbaines
01282,Outriaz,Rural à habitat dispersé
01283,Oyonnax,Centres urbains intermédiaires
01284,Ozan,Rural à habitat dispersé
01285,Parcieux,Ceintures urbaines
01286,Parves et Nattages,Rural à habitat dispersé
01288,Péron,Bourgs ruraux
01289,Péronnas,Ceintures urbaines
01290,Pérouges,Rural à habitat dispersé
01291,Perrex,Rural à habitat dispersé
01293,Peyriat,Rural à habitat dispersé
01294,Peyrieu,Rural à habitat dispersé
01295,Peyzieux-sur-Saône,Rural à habitat dispersé
01296,Pirajoux,Rural à habitat dispersé
01297,Pizay,Rural à habitat dispersé
01298,Plagne,Rural à habitat dispersé
01299,Le Plantay,Rural à habitat dispersé
01301,Polliat,Bourgs ruraux
01302,Pollieu,Rural à habitat dispersé
01303,Poncin,Bourgs ruraux
01304,Pont-d'Ain,Bourgs ruraux
01305,Pont-de-Vaux,Bourgs ruraux
01306,Pont-de-Veyle,Bourgs ruraux
01307,Port,Petites villes
01308,Pougny,Bourgs ruraux
01309,Pouillat,Rural à habitat très dispersé
01310,Prémeyzel,Rural à habitat dispersé
01311,Prémillieu,Rural à habitat très dispersé
01313,Prévessin-Moëns,Ceintures urbaines
01314,Priay,Rural à habitat dispersé
01317,Ramasse,Rural à habitat dispersé
01318,Rancé,Rural à habitat dispersé
01319,Relevant,Rural à habitat dispersé
01320,Replonges,Bourgs ruraux
01321,Revonnas,Rural à habitat dispersé
01322,Reyrieux,Ceintures urbaines
01323,Reyssouze,Bourgs ruraux
01325,Rignieux-le-Franc,Bourgs ruraux
01328,Romans,Rural à habitat dispersé
01329,Rossillon,Rural à habitat dispersé
01331,Saint-Alban,Rural à habitat dispersé
01332,Saint-André-de-Bâgé,Bourgs ruraux
01333,Saint-André-de-Corcy,Bourgs ruraux
01334,Saint-André-d'Huiriat,Rural à habitat dispersé
01335,Saint-André-le-Bouchoux,Rural à habitat dispersé
01336,Saint-André-sur-Vieux-Jonc,Rural à habitat dispersé
01337,Saint-Bénigne,Rural à habitat dispersé
01338,Groslée-Saint-Benoit,Rural à habitat dispersé
01339,Saint-Bernard,Ceintures urbaines
01342,Sainte-Croix,Rural à habitat dispersé
01343,Saint-Cyr-sur-Menthon,Rural à habitat dispersé
01344,Saint-Denis-lès-Bourg,Centres urbains intermédiaires
01345,Saint-Denis-en-Bugey,Ceintures urbaines
01346,Saint-Didier-d'Aussiat,Rural à habitat dispersé
01347,Saint-Didier-de-Formans,Ceintures urbaines
01348,Saint-Didier-sur-Chalaronne,Bourgs ruraux
01349,Saint-Éloi,Rural à habitat dispersé
01350,Saint-Étienne-du-Bois,Rural à habitat dispersé
01351,Saint-Étienne-sur-Chalaronne,Bourgs ruraux
01352,Saint-Étienne-sur-Reyssouze,Rural à habitat dispersé
01353,Sainte-Euphémie,Ceintures urbaines
01354,Saint-Genis-Pouilly,Centres urbains intermédiaires
01355,Saint-Genis-sur-Menthon,Rural à habitat dispersé
01356,Saint-Georges-sur-Renon,Rural à habitat dispersé
01357,Saint-Germain-de-Joux,Rural à habitat dispersé
01358,Saint-Germain-les-Paroisses,Rural à habitat dispersé
01359,Saint-Germain-sur-Renon,Rural à habitat dispersé
01360,Saint-Jean-de-Gonville,Ceintures urbaines
01361,Saint-Jean-de-Niost,Bourgs ruraux
01362,Saint-Jean-de-Thurigneux,Rural à habitat dispersé
01363,Saint-Jean-le-Vieux,Bourgs ruraux
01364,Saint-Jean-sur-Reyssouze,Rural à habitat très dispersé
01365,Saint-Jean-sur-Veyle,Rural à habitat dispersé
01366,Sainte-Julie,Bourgs ruraux
01367,Saint-Julien-sur-Reyssouze,Rural à habitat dispersé
01368,Saint-Julien-sur-Veyle,Rural à habitat dispersé
01369,Saint-Just,Ceintures urbaines
01370,Saint-Laurent-sur-Saône,Centres urbains intermédiaires
01371,Saint-Marcel,Bourgs ruraux
01372,Saint-Martin-de-Bavel,Rural à habitat dispersé
01373,Saint-Martin-du-Frêne,Bourgs ruraux
01374,Saint-Martin-du-Mont,Rural à habitat dispersé
01375,Saint-Martin-le-Châtel,Rural à habitat dispersé
01376,Saint-Maurice-de-Beynost,Centres urbains intermédiaires
01378,Saint-Maurice-de-Gourdans,Bourgs ruraux
01379,Saint-Maurice-de-Rémens,Rural à habitat dispersé
01380,Saint-Nizier-le-Bouchoux,Rural à habitat très dispersé
01381,Saint-Nizier-le-Désert,Rural à habitat dispersé
01382,Sainte-Olive,Rural à habitat dispersé
01383,Saint-Paul-de-Varax,Bourgs ruraux
01384,Saint-Rambert-en-Bugey,Bourgs ruraux
01385,Saint-Rémy,Bourgs ruraux
01386,Saint-Sorlin-en-Bugey,Petites villes
01387,Saint-Sulpice,Rural à habitat dispersé
01388,Saint-Trivier-de-Courtes,Bourgs ruraux
01389,Saint-Trivier-sur-Moignans,Bourgs ruraux
01390,Saint-Vulbas,Rural à habitat dispersé
01391,Salavre,Rural à habitat très dispersé
01392,Samognat,Rural à habitat dispersé
01393,Sandrans,Rural à habitat dispersé
01396,Sault-Brénaz,Rural à habitat dispersé
01397,Sauverny,Ceintures urbaines
01398,Savigneux,Bourgs ruraux
01399,Ségny,Ceintures urbaines
01400,Seillonnaz,Rural à habitat très dispersé
01401,Sergy,Ceintures urbaines
01402,Sermoyer,Rural à habitat dispersé
01403,Serrières-de-Briord,Bourgs ruraux
01404,Serrières-sur-Ain,Rural à habitat très dispersé
01405,Servas,Bourgs ruraux
01406,Servignat,Rural à habitat très dispersé
01407,Seyssel,Bourgs ruraux
01408,Simandre-sur-Suran,Rural à habitat dispersé
01410,Sonthonnax-la-Montagne,Rural à habitat dispersé
01411,Souclin,Rural à habitat dispersé
