insee_com,lib_com,niveau_centralite
01322,Reyrieux,Centre intermédiaire d'équipements et de services
01323,Reyssouze,Communes non centre
01325,Rignieux-le-Franc,Communes non centre
01328,Romans,Communes non centre
01329,Rossillon,Communes non centre
01331,Saint-Alban,Communes non centre
01332,Saint-André-de-Bâgé,Communes non centre
01333,Saint-André-de-Corcy,Centre intermédiaire d'équipements et de services
01334,Saint-André-d'Huiriat,Communes non centre
01335,Saint-André-le-Bouchoux,Communes non centre
01336,Saint-André-sur-Vieux-Jonc,Centre local d'équipements et de services
01337,Saint-Bénigne,Centre local d'équipements et de services
01338,Groslée-Saint-Benoit,Communes non centre
01339,Saint-Bernard,Centre local d'équipements et de services
01342,Sainte-Croix,Communes non centre
01343,Saint-Cyr-sur-Menthon,Centre local d'équipements et de services
01344,Saint-Denis-lès-Bourg,Centre intermédiaire d'équipements et de services
01345,Saint-Denis-en-Bugey,Centre local d'équipements et de services
01346,Saint-Didier-d'Aussiat,Communes non centre
01347,Saint-Didier-de-Formans,Centre local d'équipements et de services
01348,Saint-Didier-sur-Chalaronne,Centre intermédiaire d'équipements et de services
01349,Saint-Éloi,Communes non centre
01350,Saint-Étienne-du-Bois,Centre intermédiaire d'équipements et de services
01351,Saint-Étienne-sur-Chalaronne,Centre local d'équipements et de services
01352,Saint-Étienne-sur-Reyssouze,Communes non centre
01353,Sainte-Euphémie,Communes non centre
01354,Saint-Genis-Pouilly,Centre intermédiaire d'équipements et de services
01355,Saint-Genis-sur-Menthon,Communes non centre
01356,Saint-Georges-sur-Renon,Communes non centre
01357,Saint-Germain-de-Joux,Communes non centre
01358,Saint-Germain-les-Paroisses,Communes non centre
01359,Saint-Germain-sur-Renon,Communes non centre
01360,Saint-Jean-de-Gonville,Centre local d'équipements et de services
01361,Saint-Jean-de-Niost,Centre local d'équipements et de services
01362,Saint-Jean-de-Thurigneux,Centre local d'équipements et de services
01363,Saint-Jean-le-Vieux,Centre local d'équipements et de services
01364,Saint-Jean-sur-Reyssouze,Communes non centre
01365,Saint-Jean-sur-Veyle,Communes non centre
01366,Sainte-Julie,Communes non centre
